cell, mean, sigma, rms, rms_relative, absolute_err
0 4.273348677679998 1.8660237995924989 4.662998363893667 1.281622432326653 4.273348677679998 
1 5.079731818664127 2.48411350196696 5.654599476550334 1.4941715510985663 5.079731818664127 
2 9.213589052104503 5.422773496216223 10.690963268682813 2.71585308584887 9.213589052104503 
3 6.2802410780664815 3.228932416385973 7.061687655810174 1.8355477693598834 6.2802410780664815 
4 101.14603183407309 53.241492014764766 114.30300183169987 72.16594261796408 101.14603183407309 
5 5.112799409534483 3.1792030683516828 6.020635344542377 1.5401697234241667 5.112799409534483 
6 7.055074974456364 4.272755078309058 8.248061521013064 2.088548528097285 7.055074974456364 
7 6.849700555096569 4.816086689962585 8.373355880393776 2.533577316238541 6.849700555096569 
8 8.157667586020462 4.263897156247367 9.204800888833136 2.2326002164880556 8.157667586020462 
9 6.130239555883121 2.492501837003859 6.617582823054177 1.6981862461731887 6.130239555883121 
10 7.128750011597165 2.4101293706682982 7.525144537562355 1.9868988242399375 7.128750011597165 
11 6.2958619320249865 4.2150835641791335 7.576595998212817 1.8543050274993735 6.2958619320249865 
12 4.890098594235165 2.052123968644587 5.303232697518218 1.3740470769213837 4.890098594235165 
13 2.200156421910576 1.3585002219158258 2.5857708973959195 0.695027187432289 2.200156421910576 
14 3.3566640919928075 1.8989267352190264 3.8565679784237545 1.0000935816930276 3.3566640919928075 
15 3.719277042595082 2.594120285536824 4.534587277295309 1.205497238631965 3.719277042595082 
16 7.5478730627001775 4.499103030844759 8.787053877881451 2.235516181351864 7.5478730627001775 
17 3.5249262704370663 1.9452041270407114 4.026030837918853 1.043269128440744 3.5249262704370663 
18 10.788318328096812 7.179215145186511 12.958740002377738 5.09056378626174 10.788318328096812 
19 5.133914164319665 2.1916290892968195 5.582142304855198 1.3721646286266183 5.133914164319665 
20 7.330059106138385 2.2522377885774247 7.668268484852261 2.1196654764817553 7.330059106138385 
21 19.322084057594058 9.312565502698721 21.449168015817875 5.42724038060138 19.322084057594058 
22 5.3152179456606055 2.552126489910687 5.896176000627559 1.6722070090104098 5.3152179456606055 
23 4.471512971178677 1.8618690745017374 4.843654065063392 1.2050347300558832 4.471512971178677 
24 7.197412670299989 2.847788569052576 7.740326148207278 2.003163691371491 7.197412670299989 
25 4.632286321183419 3.845427341570615 6.020414271520014 1.6484230970387974 4.632286321183419 
26 6.766266662759312 2.6406542697363524 7.263292608992486 1.7696285447676643 6.766266662759312 
27 7.342270328561802 2.442747736386199 7.73795516149447 2.0591834522378645 7.342270328561802 
28 4.276792278417068 2.939817863879775 5.189747707308565 1.516266648677034 4.276792278417068 
29 3.1809172785546904 2.7539502075393503 4.207431102063801 1.234922793635225 3.1809172785546904 
30 3.5597858395329465 2.4094755317765704 4.298563429980914 1.1364013823251573 3.5597858395329465 
31 4.901330345336289 2.543622246666752 5.5220515470115235 1.3476214666470452 4.901330345336289 
32 3.492308580619507 1.8394054789079934 3.9471042218448424 0.960936526933854 3.492308580619507 
33 4.976805134460218 1.9918355847126177 5.360596827118884 1.3332146821782598 4.976805134460218 
34 3.91918422205354 1.9533971272711217 4.3790141930832425 1.0740984771026847 3.91918422205354 
35 19.81877283074746 14.301226282208964 24.439902407573523 10.471975884027932 19.81877283074746 
36 5.534585576882204 2.773501619136817 6.190633952931401 1.582158210118617 5.534585576882204 
37 3.9482768881809642 2.0353893759672963 4.442037854132325 1.0878822440791889 3.9482768881809642 
