cell, mean, sigma, rms, rms_relative, absolute_err
0 11.98279393933925 6.961240335181207 13.858074094073075 3.8088837356954137 11.98279393933925 
1 6.340326371206664 3.139133298381957 7.074877833463207 1.8694659507002993 6.340326371206664 
2 11.486881708249255 6.307125561139637 13.104513887332574 3.328973599948251 11.486881708249255 
3 6.262651667467203 2.9116151754021344 6.906396226517977 1.7951827956409632 6.262651667467203 
4 97.22019528047143 54.81309228315218 111.60753315083332 70.46414095891099 97.22019528047143 
5 7.402417535621553 5.973828691103367 9.512224482334677 2.433371116453085 7.402417535621553 
6 12.165935696046613 7.596713582744136 14.342944210258592 3.6318757980405727 12.165935696046613 
7 7.724496846222062 5.231978017121603 9.329600500500453 2.8229140783305735 7.724496846222062 
8 11.07423901921263 5.359221130625937 12.302846052097014 2.984022912722989 11.07423901921263 
9 5.320439509657089 1.9416735373589138 5.663671309459974 1.453396047732681 5.320439509657089 
10 6.740903611565766 2.469759368281086 7.179101116270238 1.8955313742900666 6.740903611565766 
11 7.31921525720144 4.421463397884656 8.551037981443194 2.0927911060677395 7.31921525720144 
12 7.277485450605457 4.1201538531550925 8.36286208528174 2.166785215432001 7.277485450605457 
13 4.358047345650222 3.450589283534376 5.558699764384763 1.4941182402940931 4.358047345650222 
14 3.0264132686155643 1.3959209413189193 3.3328325110729824 0.864277363145109 3.0264132686155643 
15 3.299480175865019 2.133792416212666 3.9293306690087744 1.0445928110986256 3.299480175865019 
16 10.37667751805715 6.091513895633523 12.032538296404836 3.0612005386763714 10.37667751805715 
17 3.920730082151281 2.199041693076205 4.495320761077396 1.1648766642073405 3.920730082151281 
18 9.953700544754488 8.054494675754455 12.804336726921962 5.029909762616605 9.953700544754488 
19 4.4522584887913546 2.150800804333078 4.944547476861203 1.2154353618704339 4.4522584887913546 
20 6.2502320196114765 2.3541268151336734 6.678870665068158 1.846175782524713 6.2502320196114765 
21 14.66312209373268 7.177731329521479 16.325653940179723 4.130847790391039 14.66312209373268 
22 5.055314668641237 5.807486241894215 7.699552120011258 2.1836602265524996 5.055314668641237 
23 7.033457569701801 2.54919547573167 7.481171229044713 1.8612128429068044 7.033457569701801 
24 6.734172351898847 2.3247382070764337 7.124148018992853 1.8436993959108379 6.734172351898847 
25 10.025883280063503 6.714936926988596 12.066843559062654 3.303969250954992 10.025883280063503 
26 5.329359578468644 2.217959756566498 5.772470788004387 1.4064047299489193 5.329359578468644 
27 7.190411256477011 2.331207960651724 7.558871912731243 2.011526771017834 7.190411256477011 
28 4.32454629086981 3.1006759466087894 5.321267889117607 1.5546923442121279 4.32454629086981 
29 4.125671490147329 2.808297675663358 4.990761573121953 1.4648380626420616 4.125671490147329 
30 4.1511674863741606 2.664646843633873 4.932801871271329 1.304073548421211 4.1511674863741606 
31 5.55659542726851 3.378578516836196 6.503118139536478 1.5870445124193016 5.55659542726851 
32 2.8381072731864623 1.5762807805301555 3.2464617652426844 0.7903626350301334 2.8381072731864623 
33 7.67562090145243 2.7941198464437766 8.168369601034493 2.0315257111792198 7.67562090145243 
34 3.5926063304840676 1.9924527105369305 4.108124639000155 1.0076538289069217 3.5926063304840676 
35 16.67598973488196 8.363487968004804 18.65573811535876 7.993585096405214 16.67598973488196 
36 4.685618660804569 2.387916592927844 5.259008260999418 1.3440599396580184 4.685618660804569 
37 8.093690159170535 3.5054253829320725 8.820194301032059 2.160119540740724 8.093690159170535 
