cell, mean, sigma, rms, rms_relative, absolute_err
0 4.423060649749246 2.1745618475062916 4.928710251170199 1.354653192514417 4.423060649749246 
1 5.817001195517265 3.2565031301332255 6.666506997312521 1.7615580275653195 5.817001195517265 
2 6.1346016114871915 4.187221836031424 7.427392788576596 1.886799825022003 6.1346016114871915 
3 5.9524443675646745 3.078880597369203 6.70157441813556 1.7419433673602076 5.9524443675646745 
4 106.71891385892525 58.422011163250026 121.66370849019694 76.81317257546681 106.71891385892525 
5 8.295749494118143 7.75067700593439 11.353081243410596 2.904290161756153 8.295749494118143 
6 3.702005275710123 1.7085079839907156 4.077234674720797 1.0324247045079535 3.702005275710123 
7 2.7878969518225696 1.246687236845271 3.0539480153556102 0.9240516618664028 2.7878969518225696 
8 8.738720702329699 4.724934594080673 9.934296473916307 2.4095374496616273 8.738720702329699 
9 4.846988177594608 1.9467087662135214 5.223310197010558 1.3403917673924484 4.846988177594608 
10 6.226865638405152 2.8625492068589686 6.853323547041953 1.8095148112815502 6.226865638405152 
11 4.82025674296876 2.8835213685489043 5.616900439834584 1.3746868286240324 4.82025674296876 
12 8.720533901427883 5.168714986484537 10.137224774930408 2.62651572438196 8.720533901427883 
13 3.0875567098457766 1.3088983096962357 3.3535386119201522 0.9013948264851116 3.0875567098457766 
14 2.760521077626743 1.7145418391449703 3.2496354161967353 0.8427025118610801 2.760521077626743 
15 2.949815298136334 2.101021736597476 3.621560800369673 0.9627737382502018 2.949815298136334 
16 3.9862956839009156 1.738243785989591 4.348798079816825 1.106378612441869 3.9862956839009156 
17 3.610034041496235 2.09749430383047 4.175144085581108 1.0819089834717566 3.610034041496235 
18 23.15699277845717 15.897388059357207 28.088667851133675 11.034032270195976 23.15699277845717 
19 3.8781985653337063 2.0186001786788235 4.372089980034559 1.0747177151966034 3.8781985653337063 
20 6.288298314593021 2.3518483696595975 6.713708844385787 1.8558057643268537 6.288298314593021 
21 11.8286574302425 5.490907084456923 13.040981451262414 3.29973363455264 11.8286574302425 
22 4.825783202203881 4.131889197942858 6.3530065212267814 1.8017681344575787 4.825783202203881 
23 5.510425785796123 2.3147205967278635 5.976848984346435 1.4869580910796165 5.510425785796123 
24 5.648900863939324 2.8810899834697175 6.3411955074310695 1.6410745951985406 5.648900863939324 
25 5.079461418439433 4.543273352145936 6.814855908508566 1.8659456602046378 5.079461418439433 
26 8.269106049814674 3.060483249537841 8.817293949040337 2.1482454170317906 8.269106049814674 
27 8.79059244683083 3.6433811094296336 9.515710245421934 2.5322701753519534 8.79059244683083 
28 4.130425126198377 3.124364274699526 5.179002205459037 1.5131271808268354 4.130425126198377 
29 7.395425736054693 6.958293311056269 10.154317683635394 2.9803930372582097 7.395425736054693 
30 2.911360193784753 2.5514590913087543 3.871170581694442 1.0234125125550562 2.911360193784753 
31 4.249269809295926 2.800879077966252 5.0893238766640625 1.2420170381465543 4.249269809295926 
32 2.919865643092827 1.9975358021538914 3.5377626622768914 0.8612808719339297 2.919865643092827 
33 6.136697786669027 2.2694793220724225 6.542904257149329 1.6272620943228921 6.136697786669027 
34 2.6701312005391276 1.5183330798262824 3.071634087808521 0.7534201421733345 2.6701312005391276 
35 13.183191810956567 9.679130559259956 16.354880455315847 7.007716759996317 13.183191810956567 
36 4.9308159341186535 2.444614060717467 5.5035519150832 1.4065586680568851 4.9308159341186535 
37 3.6320900645618126 1.9057534831517426 4.101703862498319 1.0045323675780686 3.6320900645618126 
